#ntpc,#numruns,#runnum,#time_elapsed,#x0,006
20.0,10.0,0.0,0.005589439074198405,1.0,0.833502538071066
20.0,10.0,1.0,0.003759340114063687,1.0,0.8071065989847716
20.0,10.0,2.0,0.003552949892150031,1.0,0.8395939086294416
20.0,10.0,3.0,0.003602894213464525,1.0,0.8253807106598985
20.0,10.0,4.0,0.003651646441883511,1.0,0.8395939086294416
20.0,10.0,5.0,0.0037700558371014064,1.0,0.8152284263959391
20.0,10.0,6.0,0.003974062999089559,1.0,0.8284263959390863
20.0,10.0,7.0,0.0039025170935524833,1.0,0.8436548223350254
20.0,10.0,8.0,0.0037802326016955906,1.0,0.8203045685279188
20.0,10.0,9.0,0.0037800355752309165,1.0,0.849746192893401
20.0,10.0,0.0,0.003991169465912713,0.0,0.8294416243654822
20.0,10.0,1.0,0.0038614284329944186,0.0,0.8091370558375635
20.0,10.0,2.0,0.004101804892222087,0.0,0.8162436548223351
20.0,10.0,3.0,0.0038827161656485665,0.0,0.8223350253807107
20.0,10.0,4.0,0.0038911566469404433,0.0,0.8233502538071066
20.0,10.0,5.0,0.004049147499932183,0.0,0.8142131979695432
20.0,10.0,6.0,0.003968928787443373,0.0,0.8284263959390863
20.0,10.0,7.0,0.004097697138786316,0.0,0.8111675126903554
20.0,10.0,8.0,0.0038579905695385404,0.0,0.8111675126903554
20.0,10.0,9.0,0.0037749664651023015,0.0,0.8131979695431472
