#ntpc,#numruns,#runnum,#time_elapsed,#x0,005
20.0,10.0,0.0,0.0055555342303382025,0.0,0.8152284263959391
20.0,10.0,1.0,0.0036078517966800267,0.0,0.7847715736040609
20.0,10.0,2.0,0.0035958647727966308,0.0,0.8182741116751269
20.0,10.0,3.0,0.003705243335829841,0.0,0.8182741116751269
20.0,10.0,4.0,0.0036937310298283893,0.0,0.8152284263959391
20.0,10.0,5.0,0.0039442284239663014,0.0,0.8
20.0,10.0,6.0,0.0037777992089589436,0.0,0.8152284263959391
20.0,10.0,7.0,0.003746743599573771,0.0,0.8040609137055837
20.0,10.0,8.0,0.003555778529908922,0.0,0.8142131979695432
20.0,10.0,9.0,0.0035842859082751803,0.0,0.8121827411167513
