epoch,mean_fw_nfe,std_fw_nfe,mean_loss,std_loss,mean_train_acc,std_train_acc,mean_val_acc,std_val_acc,mean_test_acc,std_test_acc
1,32.0,0.0,2.0737532138824464,0.016314945074638817,0.194375,0.07317839930607938,0.276268656716418,0.05099019513592784,0.26609320193753133,0.05049748575623066
2,100.8,2.4000000000000004,1.7607763051986693,0.018675920918910432,0.18375,0.06656763477847175,0.2752985074626866,0.05421265562029969,0.2698680474361116,0.058384023266844824
3,171.4,3.2310988842807027,1.5887397885322572,0.03028698254211077,0.22375000000000003,0.10624264680437889,0.29328358208955224,0.07858814876499354,0.2806246868214465,0.0784348573473573
4,242.0,3.794733192202055,1.4137093663215636,0.039310141105084136,0.27625,0.08939029589390562,0.33283582089552244,0.061364887070007104,0.3228829129781193,0.06369653205359709
5,314.4,4.8,1.2627497911453247,0.04430321684574035,0.4800000000000001,0.15524174696260024,0.4854477611940299,0.12045860333306439,0.471688658760648,0.12723737686911035
6,385.6,4.8,1.1255274057388305,0.04430071020347854,0.6693749999999999,0.1181382267727089,0.6282089552238806,0.11189441845845743,0.6178052446968432,0.11287027954833927
7,453.8,5.3999999999999995,1.0219537913799286,0.04296071528213347,0.7625,0.08067101400131277,0.7248507462686568,0.0726016620787746,0.7137798563554368,0.07893209283001291
8,523.2,6.462197768561405,0.9155434310436249,0.03828515492072726,0.865,0.04834769901453431,0.802462686567164,0.04280232972300791,0.789894772006013,0.045250343323974644
9,595.0,8.160882305241266,0.8371397018432617,0.047180444546551535,0.906875,0.01799522506110996,0.8385074626865672,0.015403534642515695,0.8268080841823953,0.019595297988871857
10,665.0,8.590692637965812,0.7659011483192444,0.03649216800574276,0.89125,0.02839454172900138,0.8499253731343284,0.012867238537406749,0.8411391347920496,0.016543156700307666
11,734.4,9.748846085563152,0.6943633675575256,0.03334795958675935,0.9099999999999999,0.013169567191065918,0.8655970149253731,0.010042513772419517,0.859245030900284,0.010255077630028192
12,803.2,12.237646832622683,0.6328887104988098,0.036781036811303805,0.9168750000000001,0.008860904299223649,0.8712686567164178,0.009552530312716192,0.8655754133956908,0.00910965875240417
13,869.6,12.642784503423286,0.5880372762680054,0.03134078803568139,0.9281249999999999,0.009375,0.8761194029850745,0.010324432003296297,0.8748956071488223,0.012088991458221926
14,937.8,14.951922953252534,0.530319768190384,0.027418566119562716,0.9399999999999998,0.010155048005794937,0.8876119402985074,0.013186801558872608,0.8852680808418241,0.013988868915640898
15,1006.6,13.536617007214174,0.4963019460439682,0.0253255602244325,0.940625,0.00419262745781209,0.892686567164179,0.010198519585585972,0.8942208117588107,0.008689354921637384
16,1073.0,13.74772708486752,0.45402942001819613,0.025561199014842478,0.9400000000000001,0.009354143466934845,0.900223880597015,0.006799240585010816,0.9004342742608987,0.008181143532068967
17,1138.8,13.89100428334827,0.4173414081335068,0.017956539426182586,0.945,0.006731456008918107,0.9003731343283581,0.00843811748481012,0.9017537998997829,0.010557685007254576
